ref_id,settlement_amount,value_date,acct_no
TXN00001,16529.72,2026-01-20,
TXN00002,27026.16,2026-02-16,ACC2408
TXN00003,21965.46,2026-01-09,ACC3028
TXN00004,47398.76,2026-03-22,ACC4622
TXN00005,2805.84,2026-04-20,ACC2929
TXN00006,28760.23,2026-03-13,ACC4078
TXN00007,18933.68,2026-03-12,ACC9133
TXN00008,34179.8,2026-02-24,ACC6924
TXN00009,15338.47,2026-04-12,ACC5919
TXN00010,26497.23,2026-04-23,ACC2199
TXN00011,6344.26,2026-02-23,ACC9011
TXN00012,21374.07,2026-03-27,ACC6140
TXN00013,17336.06,2026-02-14,ACC2533
TXN00015,35223.86,2026-03-24,ACC6685
TXN00016,1616.86,2026-03-01,ACC1965
TXN00017,11301.28,2026-02-06,ACC9134
TXN00018,4488.77,2026-02-27,ACC8053
TXN00019,43267.23,2026-02-05,ACC7233
TXN00020,47907.69,2026-01-20,ACC4822
TXN00021,1097.12,2026-04-17,
TXN00022,21237.85,2026-02-17,ACC9445
TXN00023,47536.09,2026-03-25,ACC7428
TXN00024,20204.45,2026-02-20,ACC4122
TXN00025,3833.71,2026-01-27,ACC1861
TXN00026,5567.79,2026-03-14,ACC1417
TXN00027,3980.62,2026-01-27,ACC6691
TXN00028,30312.82,2026-03-02,ACC8634
TXN00029,24279.56,2026-02-09,ACC5337
TXN00030,24191.79,2026-03-30,ACC9654
TXN00031,18406.75,2026-03-30,ACC5883
TXN00032,48935.81,2026-04-21,ACC7008
TXN00033,45458.8,2026-02-15,ACC6401
TXN00034,32003.88,2026-03-20,ACC4714
TXN00035,10395.94,2026-03-05,ACC5577
TXN00036,23875.88,2026-01-25,ACC6726
TXN00037,47772.53,2026-02-16,ACC4222
TXN00038,17218.01,2026-03-03,ACC2389
TXN00039,41815.12,2026-01-16,ACC8832
TXN00040,44506.04,2026-02-25,ACC7485
TXN00041,23426.45,2026-04-06,ACC3081
TXN00042,1863.67,2026-03-17,ACC8771
TXN00043,33034.78,2026-02-14,ACC1233
TXN00044,40068.17,2026-04-03,ACC8107
TXN00045,49234.2,2026-01-25,ACC4940
TXN00046,38302.15,2026-02-11,ACC1997
TXN00047,45545.84,2026-02-15,ACC9466
TXN00048,21321.1,2026-04-28,ACC9364
TXN00049,1425.89,2026-02-26,ACC3454
TXN00050,9031.16,2026-03-02,ACC9492
TXN00051,26770.95,2026-03-03,
TXN00052,9969.65,2026-01-06,ACC2038
TXN00053,22440.8,2026-03-20,ACC5541
TXN00054,22891.12,2026-03-10,ACC9572
TXN00055,43888.51,2026-05-01,ACC4319
TXN00056,42079.99,2026-01-18,ACC2188
TXN00057,33722.19,2026-02-24,ACC3004
TXN00058,44902.81,2026-01-20,ACC8663
TXN00059,11369.6,2026-01-13,ACC4665
TXN00060,8492.57,2026-02-25,ACC6842
TXN00061,16767.02,2026-04-03,ACC1296
TXN00062,19525.06,2026-03-08,
TXN00063,49261.62,2026-04-11,ACC5351
TXN00064,13960.06,2026-04-26,ACC7918
TXN00065,42554.6,2026-03-28,ACC9434
TXN00066,28744.45,2026-03-31,
TXN00067,34566.18,2026-02-24,
TXN00068,4884.01,2026-02-03,ACC5332
TXN00069,43207.36,2026-02-28,ACC5388
TXN00070,31274.32,2026-01-06,ACC3645
TXN00071,13463.82,2026-01-24,ACC9701
TXN00072,38095.16,2026-02-07,ACC6685
TXN00073,40782.11,2026-02-02,ACC4104
TXN00074,25954.63,2026-02-01,ACC8080
TXN00075,32997.22,2026-03-11,ACC4525
TXN00076,49130.81,2026-02-13,ACC3289
TXN00077,20532.54,2026-02-14,
TXN00078,31459.69,2026-04-23,
TXN00079,33428.77,2026-02-18,ACC4968
TXN00080,34787.93,2026-01-06,ACC1059
TXN00081,13530.53,2026-02-12,
TXN00082,44178.23,2026-01-28,ACC2374
TXN00083,23994.86,2026-03-06,ACC2488
TXN00084,13576.35,2026-01-12,
TXN00085,1613.46,2026-02-08,ACC3543
TXN00086,33048.41,2026-04-02,ACC9096
TXN00087,8398.43,2026-04-03,ACC8032
TXN00088,36825.68,2026-04-14,ACC9263
TXN00089,28639.74,2026-04-15,ACC4767
TXN00090,4712.04,2026-01-06,ACC7170
TXN00091,41873.15,2026-03-13,ACC5006
TXN00092,24720.07,2026-01-01,ACC9240
TXN00094,36971.02,2026-02-02,ACC4362
TXN00095,11921.44,2026-03-25,ACC8848
TXN00096,45568.1,2026-02-06,ACC2269
TXN00097,30185.41,2026-02-12,ACC3186
TXN00098,1117.23,2026-01-08,ACC4566
TXN00099,33947.53,2026-02-07,ACC2941
TXN00100,49668.37,2026-03-12,
TXN00102,25577.62,2026-02-27,ACC4452
TXN00103,4193.34,2026-01-12,ACC6890
TXN00104,7063.95,2026-04-15,ACC6983
TXN00105,11953.49,2026-04-25,ACC9055
TXN00106,34238.61,2026-02-21,ACC7162
TXN00107,16395.86,2026-04-18,ACC2966
TXN00108,47024.11,2026-01-26,ACC7098
TXN00109,3716.38,2026-02-19,ACC5508
TXN00111,33267.92,2026-03-23,ACC9371
TXN00112,16122.27,2026-04-09,ACC1475
TXN00113,40692.13,2026-03-22,ACC9998
TXN00114,10570.07,2026-01-11,ACC3270
TXN00115,32902.29,2026-02-06,ACC8736
TXN00116,21035.9,2026-02-06,ACC5262
TXN00117,20607.36,2026-01-31,ACC2961
TXN00118,8782.96,2026-01-21,ACC9144
TXN00119,27744.13,2026-02-27,ACC3287
TXN00120,27615.37,2026-02-01,ACC6231
TXN00121,12336.77,2026-02-03,ACC7763
TXN00122,19450.48,2026-04-06,ACC2016
TXN00123,25158.22,2026-03-15,ACC4538
TXN00124,5083.61,2026-04-25,ACC8075
TXN00125,47720.21,2026-04-19,ACC8754
TXN00127,46546.81,2026-04-29,ACC5070
TXN00128,39263.81,2026-01-29,ACC2784
TXN00129,47103.78,2026-04-03,ACC1022
TXN00130,39223.78,2026-01-30,ACC3096
TXN00131,31510.4,2026-03-09,ACC2152
TXN00132,15367.29,2026-05-01,ACC1018
TXN00133,1017.85,2026-02-08,ACC4970
TXN00134,24027.56,2026-01-31,ACC6036
